title,kicker,image,link
"CDI unveils $920M Churchill Downs Racetrack expansion plan, to be wrapped up by 154th Kentucky Derby ",PROJECT TO BE ROLLED OUT FROM 2025-2028,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/20/72762/1740060948-new-capital-projects-for-churchill-downs-racetrac-4.png,https://www.yogonet.com/international/news/2025/02/20/95779-cdi-unveils-920m-churchill-downs-racetrack-expansion-plan-to-be-wrapped-up-by-154th-kentucky-derby
Court dismisses Potawatomi lawsuit against Waukegan casino plans in Illinois,ENDS NEARLY SIX-YEAR LEGAL DISPUTE,https://imagenesyogonet.b-cdn.net/data/imagenes/2018/01/10/16860/1625230083-justicia-ley-generica-05.jpg,https://www.yogonet.com/international/news/2025/02/21/95876-court-dismisses-potawatomi-lawsuit-against-waukegan-casino-plans-in-illinois
Bally’s Corporation reportedly exploring investment in Australia’s Star Entertainment,BALLY’S EXECS MEET WITH STAR OFFICIALS,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/05/03/64052/1714760506-ballys-generica.jpg,https://www.yogonet.com/international/news/2025/02/21/95880-ballys-corporation-reportedly-exploring-investment-in-australias-star-entertainment
"EGT: ""We will strive to maintain and strengthen our leading positions on a global scale by entering more markets""",INTERVIEW WITH NADIA POPOVA,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/21/72793/1740142611-nadia-popova-chief-revenue-officer-and-vp-sales-&-marketing-egt.jpg,https://www.yogonet.com/international/news/2025/02/21/95877-egt-34we-will-strive-to-maintain-and-strengthen-our-leading-positions-on-a-global-scale-by-entering-more-markets-34
Mohegan disputes Bain Capital’s takeover of South Korea’s Inspire resort,REAFFIRMS COMMITMENT TO THE PROPERTY,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/11/24/59855/1700835795-mohegan-inspire-entertainment-resort-corea-02.jpg,https://www.yogonet.com/international/news/2025/02/20/95775-mohegan-disputes-bain-capitals-takeover-of-south-koreas-inspire-resort
Soft2Bet to showcase MEGA and expanding brand portfolio at SBC Summit Rio 2025,"STAND B960; 26-27 FEBRUARY, RIOCENTRO",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/20/72779/1740070037-soft2bet-sbc-summit-rio-2025.jpg,https://www.yogonet.com/international/news/2025/02/21/95788-soft2bet-to-showcase-mega-and-expanding-brand-portfolio-at-sbc-summit-rio-2025
SBC announces dedicated affiliation and payment summits for its Americas event in Florida,"MAY 13TH-15TH, FORT LAUDERDALE",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/21/72784/1740141433-sbc-summit-americas-exhibition-floor-2025.jpg,https://www.yogonet.com/international/news/2025/02/21/95873-sbc-announces-dedicated-affiliation-and-payment-summits-for-its-americas-event-in-florida
Unlock data's power: The smart operator’s guide,UPLATFORM GUIDE,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/19/72731/1739978689-uplatform-unlock-data-power-the-smart-operator-guide-1.jpg,https://www.yogonet.com/international/news/2025/02/20/95682-unlock-data-39s-power-the-smart-operators-guide
Pragmatic Play combines fast-paced action with slow-motion replays in Immersive Roulette Deluxe,LATEST RELEASE,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/19/72726/1739978685-pragmatic-play-roulette-deluxe-eng.jpg,https://www.yogonet.com/international/news/2025/02/20/95672-pragmatic-play-combines-fastpaced-action-with-slowmotion-replays-in-immersive-roulette-deluxe
EstrelaBet secures definitive license to operate in Brazil’s regulated iGaming market,ONE OF THE FIRST FULLY LICENSED OPERATORS ,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/04/26/63888/1714160008-bis-sigma-americas-2024-105-stand-estrelabet.jpg,https://www.yogonet.com/international/news/2025/02/21/95785-estrelabet-secures-definitive-license-to-operate-in-brazils-regulated-igaming-market
JCM Global secures license from Nebraska Racing and Gaming Commission,NOW HOLDS 178 GAMING LICENSES,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/20/72754/1740058402-jcm-global-stand-generica.png,https://www.yogonet.com/international/news/2025/02/21/95667-jcm-global-secures-license-from-nebraska-racing-and-gaming-commission
Alabama sports betting legislation faces uphill battle amid lack of support,LACKS REQUIRED VOTES,https://imagenesyogonet.b-cdn.net/data/imagenes/2021/04/23/36168/1625370421-parlamento-legislatura-alabama.jpg,https://www.yogonet.com/international/news/2025/02/20/95782-alabama-sports-betting-legislation-faces-uphill-battle-amid-lack-of-support
